ID,Lokācija / pins,Novads/reģions,Prioritātes klase,Lat,Lng,Ģeoloģiskais pamatojums,Testēšanas mērķis,Piekļuves piezīme,Avota URL,Google Maps URL,My Maps adrese,Statuss
1,Apriķi / Lažas pagasts,Dienvidkurzeme,A — oficiāla valsts nozīmes māla atradne,56.695,21.401,Māls: keramzīta un būvkeramikas izejviela,Kurzemes/Tebras baseina mālu pārbaude,Iegūt tikai ar īpašnieka/karjera atļauju; punkts ir aptuvens,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.695000,21.401000","Apriķi / Lažas pagasts, Dienvidkurzeme, Latvija",Nav testēts
2,Brocēni II,Saldus novads,A — oficiāla valsts nozīmes māla atradne,56.675,22.535,Māls: cementa ražošanai; karbonātiskuma risks,Salīdzināt ar trauku māliem kā rūpniecisku izejvielu,Rūpnieciska zona; neņemt bez saskaņošanas,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.675000,22.535000","Brocēni II, Saldus novads, Latvija",Nav testēts
3,Kaiģi / Kalnciems–Līvbērze–Valgunde,Jelgavas novads,A — oficiāla valsts nozīmes māla atradne,56.815,23.585,Māls: ķieģeļu ražošana; Lielupes/Zemgales māli,Ļoti labs Zemgales mālu kontrolpunkts,"Meklēt legālus atsegumus, dīķu rakumus, grāvjus",https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.815000,23.585000","Kaiģi / Kalnciems–Līvbērze–Valgunde, Jelgavas novads, Latvija",Nav testēts
4,Kuprava,Balvu novads,A — oficiāla valsts nozīmes māla atradne,57.245,27.561,Māls: keramzīta un būvkeramikas izejviela,Ziemeļaustrumu devona/Katlešu svītas pārbaude,Saskaņot piekļuvi; neiet karjerā bez atļaujas,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.245000,27.561000","Kuprava, Balvu novads, Latvija",Nav testēts
5,Liepa,Cēsu novads,A — oficiāla valsts nozīmes māla atradne,57.385,25.425,Māls: dažāda būvkeramika; klasiska Latvijas mālu zona,Viens no svarīgākajiem etalona paraugiem,Daļa teritoriju var būt īpaši aizsargājamas; vajag atļauju,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.385000,25.425000","Liepa, Cēsu novads, Latvija",Nav testēts
6,Nīcgale,Augšdaugavas novads,A — oficiāla valsts nozīmes māla atradne,56.055,26.325,Māls: keramzīta un būvkeramikas izejviela,Latgales/Daugavas baseina kontrolpunkts,Saskaņot īpašnieku un piekļuvi,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.055000,26.325000","Nīcgale, Augšdaugavas novads, Latvija",Nav testēts
7,Usma,Ventspils novads,A — oficiāla valsts nozīmes māla atradne,57.176,22.162,Māls: būvkeramikas izejviela,Ventas–Usmas baseina māli,Punkts aptuvens; pārbaudīt ZDzIS,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=57.176000,22.162000","Usma, Ventspils novads, Latvija",Nav testēts
8,Venta / Pampāļi,Saldus novads,A — oficiāla valsts nozīmes māla atradne,56.525,22.0,Māls: cementa un būvkeramikas izejviela,Kurzemes/Saldus puses mālu paraugs,Karbonātiskuma un kaļķa ieslēgumu pārbaude obligāta,https://likumi.lv/ta/id/247498-noteikumi-par-valsts-nozimes-derigo-izraktenu-atradnem,"https://www.google.com/maps/search/?api=1&query=56.525000,22.000000","Venta / Pampāļi, Saldus novads, Latvija",Nav testēts
9,Lode / Liepas apkārtne,Cēsu novads,B — dokumentēta devona mālu zona,57.39,25.46,Devona māli pie Liepas/Lodes,Salīdzināt ar Liepas etalonu; meklēt atsegumus,Piekļuve tikai ar atļauju; dabas aizsardzības riski,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.390000,25.460000","Lode / Liepas apkārtne, Cēsu novads, Latvija",Nav testēts
10,Gāršas / Gaujas ielejas mala,Cēsu novads,B — dokumentēta devona mālu zona,57.405,25.435,Gaujas svītas mālu rajons,"Paraugs no atsegumiem, ja piekļuve likumīga",Gaujas NP zonā īpaši uzmanīgi ar noteikumiem,https://www.lu.lv/vpp/arhivs/zeme/malu-petijumi/latvija/,"https://www.google.com/maps/search/?api=1&query=57.405000,25.435000","Gāršas / Gaujas ielejas mala, Cēsu novads, Latvija",Nav testēts
